time_iso8601,forks_cumulative
2025-10-13 00:00:00+00:00,45171
2025-10-14 00:00:00+00:00,45179
2025-10-15 00:00:00+00:00,45183
2025-10-16 00:00:00+00:00,45186
2025-10-17 00:00:00+00:00,45195
2025-10-18 00:00:00+00:00,45202
2025-10-19 00:00:00+00:00,45216
2025-10-20 00:00:00+00:00,45223
2025-10-21 00:00:00+00:00,45230
2025-10-22 00:00:00+00:00,45237
2025-10-23 00:00:00+00:00,45245
2025-10-24 00:00:00+00:00,45256
2025-10-25 00:00:00+00:00,45272
2025-10-26 00:00:00+00:00,45278
2025-10-27 00:00:00+00:00,45291
2025-10-28 00:00:00+00:00,45300
2025-10-29 00:00:00+00:00,45305
2025-10-30 00:00:00+00:00,45310
2025-10-31 00:00:00+00:00,45316
2025-11-01 00:00:00+00:00,45318
2025-11-02 00:00:00+00:00,45328
2025-11-03 00:00:00+00:00,45332
2025-11-04 00:00:00+00:00,45344
2025-11-05 00:00:00+00:00,45353
2025-11-06 00:00:00+00:00,45365
2025-11-07 00:00:00+00:00,45376
2025-11-08 00:00:00+00:00,45380
2025-11-09 00:00:00+00:00,45385
2025-11-10 00:00:00+00:00,45395
2025-11-11 00:00:00+00:00,45403
2025-11-12 00:00:00+00:00,45409
2025-11-13 00:00:00+00:00,45413
2025-11-14 00:00:00+00:00,45419
2025-11-15 00:00:00+00:00,45425
2025-11-16 00:00:00+00:00,45431
2025-11-17 00:00:00+00:00,45447
2025-11-18 00:00:00+00:00,45457
2025-11-19 00:00:00+00:00,45465
2025-11-20 00:00:00+00:00,45480
2025-11-21 00:00:00+00:00,45483
2025-11-22 00:00:00+00:00,45488
2025-11-23 00:00:00+00:00,45491
2025-11-24 00:00:00+00:00,45512
2025-11-25 00:00:00+00:00,45521
2025-11-26 00:00:00+00:00,45531
2025-11-27 00:00:00+00:00,45549
2025-11-28 00:00:00+00:00,45557
2025-11-29 00:00:00+00:00,45561
2025-11-30 00:00:00+00:00,45563
2025-12-01 00:00:00+00:00,45573
2025-12-02 00:00:00+00:00,45578
2025-12-03 00:00:00+00:00,45588
2025-12-04 00:00:00+00:00,45601
2025-12-05 00:00:00+00:00,45608
2025-12-06 00:00:00+00:00,45614
2025-12-07 00:00:00+00:00,45620
2025-12-08 00:00:00+00:00,45624
2025-12-09 00:00:00+00:00,45631
2025-12-10 00:00:00+00:00,45634
2025-12-11 00:00:00+00:00,45647
2025-12-12 00:00:00+00:00,45655
2025-12-13 00:00:00+00:00,45658
2025-12-14 00:00:00+00:00,45667
2025-12-15 00:00:00+00:00,45673
2025-12-16 00:00:00+00:00,45683
2025-12-17 00:00:00+00:00,45691
2025-12-18 00:00:00+00:00,45692
2025-12-19 00:00:00+00:00,45698
2025-12-20 00:00:00+00:00,45701
2025-12-21 00:00:00+00:00,45709
2025-12-22 00:00:00+00:00,45716
2025-12-23 00:00:00+00:00,45720
2025-12-24 00:00:00+00:00,45723
2025-12-25 00:00:00+00:00,45733
2025-12-26 00:00:00+00:00,45737
2025-12-27 00:00:00+00:00,45745
2025-12-28 00:00:00+00:00,45752
2025-12-29 00:00:00+00:00,45758
2025-12-30 00:00:00+00:00,45775
2025-12-31 00:00:00+00:00,45803
2026-01-01 00:00:00+00:00,45806
2026-01-02 00:00:00+00:00,45809
2026-01-03 00:00:00+00:00,45814
2026-01-04 00:00:00+00:00,45822
2026-01-05 00:00:00+00:00,45828
2026-01-06 00:00:00+00:00,45833
2026-01-07 00:00:00+00:00,45847
2026-01-08 00:00:00+00:00,45858
2026-01-09 00:00:00+00:00,45864
2026-01-10 00:00:00+00:00,45868
2026-01-11 00:00:00+00:00,45875
2026-01-12 00:00:00+00:00,45884
2026-01-13 00:00:00+00:00,45891
2026-01-14 00:00:00+00:00,45901
2026-01-15 00:00:00+00:00,45906
2026-01-16 00:00:00+00:00,45915
2026-01-17 00:00:00+00:00,45921
2026-01-18 00:00:00+00:00,45925
2026-01-19 00:00:00+00:00,45931
2026-01-20 00:00:00+00:00,45947
2026-01-21 00:00:00+00:00,45955
2026-01-22 00:00:00+00:00,45966
2026-01-23 00:00:00+00:00,45972
2026-01-24 00:00:00+00:00,45978
2026-01-25 00:00:00+00:00,45980
2026-01-26 00:00:00+00:00,45993
2026-01-27 00:00:00+00:00,46001
2026-01-28 00:00:00+00:00,46007
2026-01-29 00:00:00+00:00,46014
2026-01-30 00:00:00+00:00,46022
2026-01-31 00:00:00+00:00,46029
2026-02-01 00:00:00+00:00,46036
2026-02-02 00:00:00+00:00,46047
2026-02-03 00:00:00+00:00,46061
2026-02-04 00:00:00+00:00,46067
2026-02-05 00:00:00+00:00,46075
2026-02-06 00:00:00+00:00,46086
2026-02-07 00:00:00+00:00,46091
